id_municipio;nombre_municipio;total_paro;p_h_u25;p_h_25_44;p_h_o45;p_m_u25;p_m_25_44;p_m_o45;p_agr;p_ind;p_con;p_ser;p_sin_empleo;total_contratos;c_h_indef;c_h_temp;c_h_conv;c_m_indef;c_m_temp;c_m_conv;c_agr;c_ind;c_con;c_ser
45077;HUECAS;57;2;5;6;3;17;24;2;6;4;40;5;43;17;16;2;1;6;1;0;27;1;15
45078;HUERTA DE VALDECARABANOS;145;4;15;24;3;37;62;1;8;31;96;9;6;0;2;0;0;4;0;1;2;1;2
45079;IGLESUELA, LA;60;2;10;17;4;10;17;1;2;3;52;2;5;0;5;0;0;0;0;0;0;0;5
45080;ILLÁN DE VACAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45081;ILLESCAS;2173;85;290;335;91;686;686;14;216;158;1617;168;1415;50;891;61;41;356;16;4;216;76;1119
45082;LAGARTERA;71;0;4;27;0;10;30;2;4;7;57;1;65;4;26;1;1;33;0;12;2;1;50
45083;LAYOS;39;1;4;9;1;12;12;2;2;4;31;0;222;0;165;0;0;57;0;159;0;1;62
45084;LILLO;295;13;34;61;10;71;106;63;39;17;158;18;37;0;24;2;0;10;1;12;0;2;23
45085;LOMINCHAR;212;12;20;45;7;62;66;12;41;11;130;18;15;0;9;0;1;4;1;2;2;2;9
45086;LUCILLOS;86;2;6;17;3;24;34;5;6;5;67;3;3;1;2;0;0;0;0;2;0;1;0
45087;MADRIDEJOS;763;26;90;118;30;189;310;92;89;91;441;50;204;6;106;9;2;78;3;55;17;18;114
45088;MAGÁN;343;18;31;62;22;106;104;12;25;33;233;40;3;0;3;0;0;0;0;0;1;0;2
45089;MALPICA DE TAJO;214;17;29;41;13;39;75;23;17;16;145;13;22;0;5;3;0;13;1;4;1;2;15
45090;MANZANEQUE;48;2;5;13;3;9;16;8;2;4;32;2;18;0;13;0;0;5;0;13;0;0;5
45091;MAQUEDA;39;2;2;7;1;10;17;1;2;2;30;4;5;1;3;0;0;1;0;0;0;2;3
45092;MARJALIZA;10;0;1;3;0;3;3;3;0;1;5;1;2;0;0;0;0;2;0;0;0;0;2
45093;MARRUPE;15;2;0;5;0;3;5;0;0;0;14;1;5;0;3;0;1;1;0;2;0;0;3
45094;MASCARAQUE;32;1;0;12;0;11;8;2;4;2;24;0;17;0;13;0;0;4;0;5;5;1;6
45095;MATA, LA;60;2;3;12;8;13;22;2;10;5;36;7;12;0;3;1;0;7;1;1;10;0;1
45096;MAZARAMBROZ;125;6;15;24;10;30;40;8;23;4;84;6;26;1;17;0;0;7;1;11;2;1;12
45097;MEJORADA;145;7;11;29;6;36;56;6;23;10;98;8;3;0;2;0;0;1;0;0;0;0;3
45098;MENASALBAS;182;6;20;36;8;46;66;19;38;5;100;20;30;0;13;1;0;15;1;10;1;0;19
45099;MÉNTRIDA;447;20;45;75;20;128;159;12;48;38;309;40;36;0;15;3;0;15;3;4;2;3;27
45100;MESEGAR DE TAJO;22;1;2;5;1;6;7;1;3;0;16;2;8;0;8;0;0;0;0;8;0;0;0
45101;MIGUEL ESTEBAN;432;17;40;90;18;144;123;114;44;50;199;25;701;18;472;0;4;206;1;44;3;14;640
45102;MOCEJON;456;21;57;74;22;149;133;15;32;52;305;52;26;2;10;2;1;11;0;3;2;5;16
45103;MOHEDAS DE LA JARA;21;0;1;6;2;6;6;0;1;0;19;1;1;0;0;0;0;1;0;1;0;0;0
45104;MONTEARAGON;64;5;3;12;3;17;24;3;5;6;40;10;12;0;10;0;0;1;1;8;0;0;4
45105;MONTESCLAROS;36;4;6;5;1;12;8;1;1;4;30;0;5;0;2;1;0;2;0;0;1;0;4
45106;MORA;831;36;87;145;40;231;292;102;115;44;501;69;180;4;129;3;5;34;5;66;14;9;91
45107;NAMBROCA;357;16;52;58;19;108;104;13;21;24;271;28;95;1;20;1;1;72;0;10;6;3;76
45108;NAVA DE RICOMALILLO, LA;33;0;2;9;0;9;13;0;0;3;30;0;14;0;12;0;1;1;0;1;1;0;12
45109;NAVAHERMOSA;314;6;25;70;13;86;114;49;39;16;194;16;53;0;43;2;1;7;0;32;3;3;15
45110;NAVALCAN;219;13;23;57;3;46;77;7;8;23;173;8;28;0;15;1;0;12;0;6;2;1;19
45111;NAVALMORALEJO;4;0;0;1;0;1;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
