Código;Distribución de la renta P80/P20;Índice de Gini;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por hogar;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por persona
04005;2.2;26.3;16102.0;15050.0;27307.0;13019.0;24241.0;11557.0
04006;2.8;33.0;16300.0;14350.0;34896.0;12616.0;29714.0;10742.0
04007;2.1;26.7;14871.0;13650.0;24313.0;12518.0;21610.0;11126.0
04008;2.5;32.1;19314.0;15750.0;35334.0;16556.0;29722.0;13927.0
04009;3.7;33.5;18282.0;17850.0;31200.0;16087.0;26901.0;13871.0
04010;2.2;26.8;14799.0;14350.0;25421.0;12062.0;22488.0;10670.0
04011;2.5;28.6;15946.0;15050.0;30633.0;12300.0;26834.0;10774.0
04012;3.0;34.1;17327.0;14350.0;30614.0;14660.0;25874.0;12391.0
04013;3.0;33.5;20000.0;17150.0;42763.0;16245.0;35200.0;13372.0
04014;2.7;31.3;18523.0;16450.0;31306.0;15501.0;26660.0;13201.0
04015;2.6;28.8;18658.0;18550.0;30890.0;16871.0;26180.0;14298.0
04016;2.4;28.9;16889.0;15050.0;34797.0;13075.0;29762.0;11183.0
04017;3.2;34.9;15125.0;14350.0;27302.0;12246.0;23953.0;10744.0
04018;2.2;29.7;18954.0;17150.0;33357.0;16160.0;28748.0;13927.0
04019;2.1;25.3;18546.0;16450.0;29524.0;16168.0;25885.0;14175.0
04020;2.6;31.8;16220.0;15050.0;28019.0;13267.0;24760.0;11724.0
04021;2.8;31.9;17080.0;15050.0;31141.0;15496.0;26181.0;13028.0
04022;3.3;35.5;15764.0;14350.0;26051.0;13435.0;22557.0;11634.0
04023;2.5;30.6;18578.0;17150.0;30507.0;15872.0;26598.0;13838.0
04024;2.2;25.7;16947.0;15750.0;35629.0;12829.0;30620.0;11026.0
04026;;;;;;;;
04027;2.0;26.3;16605.0;15400.0;24645.0;14890.0;21628.0;13067.0
04028;2.0;23.6;14453.0;13650.0;23006.0;12270.0;20666.0;11022.0
04029;2.3;28.6;15132.0;13650.0;30940.0;11475.0;27064.0;10038.0
04030;2.4;29.0;15836.0;14350.0;25512.0;13057.0;22845.0;11692.0
04031;2.5;30.7;16057.0;15050.0;30793.0;12723.0;26682.0;11024.0
04032;2.5;31.3;18857.0;16450.0;38963.0;15087.0;32632.0;12636.0
04033;1.8;21.1;20257.0;19950.0;31930.0;18246.0;27503.0;15716.0
04034;2.6;34.7;19525.0;17150.0;35618.0;16117.0;30842.0;13957.0
04035;2.4;29.6;15844.0;14350.0;32303.0;12162.0;27991.0;10538.0
04036;1.8;24.9;15676.0;15050.0;28341.0;12435.0;25177.0;11047.0
04037;2.4;30.1;16597.0;15050.0;28913.0;13605.0;25213.0;11864.0
04038;2.5;27.9;16192.0;15050.0;32125.0;12434.0;27775.0;10750.0
04039;;;;;;;;
04041;2.5;30.3;17186.0;15050.0;29841.0;14787.0;25471.0;12622.0
04043;2.7;31.4;17382.0;16450.0;30450.0;15515.0;25627.0;13057.0
04044;2.3;28.1;16691.0;15050.0;32952.0;13047.0;28207.0;11169.0
04045;2.2;26.8;15609.0;14350.0;27061.0;12477.0;24079.0;11102.0
04046;2.7;29.5;16693.0;15050.0;28363.0;14258.0;24506.0;12319.0
04047;2.8;31.5;14891.0;13650.0;27419.0;12006.0;23934.0;10480.0
04048;2.5;29.1;16498.0;15050.0;31787.0;12841.0;27556.0;11132.0
04049;2.7;31.3;15593.0;13650.0;32952.0;12112.0;28218.0;10372.0
04050;3.3;34.4;14397.0;12250.0;26823.0;11446.0;23646.0;10090.0
04051;2.5;29.0;15738.0;15050.0;26770.0;13437.0;23106.0;11598.0
04052;2.2;26.7;19151.0;17850.0;42103.0;14786.0;35212.0;12366.0
04053;2.6;31.1;18054.0;15750.0;39106.0;14012.0;33044.0;11840.0
04054;2.4;32.1;15823.0;14350.0;26605.0;13065.0;23416.0;11499.0
04055;2.6;30.5;13957.0;13650.0;22580.0;11267.0;20148.0;10053.0
04056;2.5;29.6;16653.0;15050.0;28341.0;13887.0;25077.0;12288.0
