ID_MUNICIPIO;FECHA_ELECCION;V_ALCD_2016;V_C's_2016;V_CCD_2016;V_CCD-CI_2016;V_CCa-PNC_2016;V_CCa-PNC-NC_2016;V_CILUS_2016;V_CUP_2016;V_EAJ-PNV_2016;V_EB_2016;V_ECP_2016;V_ENTABAN_2016;V_ERC-CATSÍ_2016;V_FE_2016;V_FE_de_las_J_2016;V_FME_2016;V_IMC_2016;V_INDEPENDIEN_2016;V_IZAR_2016;V_JXC_2016;V_Ln_2016;V_MAS_2016;V_PACMA_2016;V_PCOE_2016;V_PCPE_2016;V_PFyV_2016;V_PH_2016;V_PODEMOS-COM_2016;V_PODEMOS-EN_MAREA-ANOVA-EU_2016;V_PODEMOS-IU-EQUO_2016;V_PP_2016;V_PREPAL_2016;V_PSOE_2016;V_PUEDE_2016;V_PxC_2016;V_RECORTES_CERO-GRUPO_VERDE_2016;V_REPO_2016;V_SAIn_2016;V_SI_2016;V_SOMVAL_2016;V_SUMAR_2016;V_Teruel_Existe_2016;V_UDT_2016;V_UNIDAD_DEL_PUEBLO_2016;V_UPL_2016;V_UPyD_2016;V_VOX_2016
46171;2016-06;0;1819;43;0;0;0;0;4;0;0;0;0;0;0;16;0;0;0;0;0;0;0;178;0;15;0;0;3484;0;0;3679;0;2660;0;0;32;2;0;0;56;0;0;0;0;0;31;24
46172;2016-06;0;501;2;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;61;0;2;0;0;1015;0;0;1215;0;627;0;0;7;1;0;0;12;0;0;0;0;0;3;4
46173;2016-06;0;110;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;322;0;0;374;0;232;0;0;0;0;0;0;3;0;0;0;0;0;1;1
46174;2016-06;0;44;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;2;0;0;185;0;0;234;0;270;0;0;2;0;0;0;1;0;0;0;0;0;0;1
46175;2016-06;0;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;150;0;77;0;0;0;0;0;0;3;0;0;0;0;0;0;0
46176;2016-06;0;185;5;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;22;0;4;0;0;341;0;0;495;0;274;0;0;1;1;0;0;9;0;0;0;0;0;2;2
46177;2016-06;0;436;6;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;37;0;8;0;0;1113;0;0;952;0;920;0;0;4;3;0;0;15;0;0;0;0;0;5;5
46178;2016-06;0;609;13;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;54;0;0;0;0;930;0;0;1245;0;442;0;0;8;0;0;0;21;0;0;0;0;0;4;24
46179;2016-06;0;180;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0;418;0;0;675;0;421;0;0;1;0;0;0;0;0;0;0;0;0;2;3
46180;2016-06;0;62;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;16;0;1;0;0;178;0;0;139;0;148;0;0;1;0;0;0;2;0;0;0;0;0;0;1
46181;2016-06;0;1477;40;0;0;0;0;4;0;0;0;0;0;0;11;0;0;0;0;0;0;0;170;0;8;0;0;3451;0;0;4299;0;2503;0;0;15;4;0;0;31;0;0;0;0;0;15;25
46182;2016-06;0;137;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;15;0;3;0;0;336;0;0;248;0;164;0;0;5;0;0;0;2;0;0;0;0;0;1;1
46183;2016-06;0;554;9;0;0;0;0;3;0;0;0;0;0;0;5;0;0;0;0;0;0;0;46;0;2;0;0;1099;0;0;1903;0;713;0;0;4;0;0;0;7;0;0;0;0;0;8;9
46184;2016-06;0;2673;81;0;0;0;0;11;0;0;0;0;0;0;25;0;0;0;0;0;0;0;250;0;24;0;0;6307;0;0;6196;0;4412;0;0;31;9;0;0;25;0;0;0;0;0;29;35
